,id,created_at,updated_at,available,average_fee_transport,average_gas_consume,average_velocity,fixed_cost,driver_name,gas_price,height,length,max_capacity,max_load_weight,max_velocity,min_velocity,name,type,width,dx_code,vehicle_cost,manager_node
184,185,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe vận tải,,,,821480
185,186,,,1,0.1,0.02,60,,,22000,,,[1.20000004768372],,90,40,,xe tải (loại 3 chỗ),,,,822020
186,187,,,1,0.1,0.02,60,,,22000,,,[0.579999983310699],,90,40,,xe tải (loại 3 chỗ),,,,822020
187,188,,,1,0.1,0.02,60,,,22000,,,[0.600000023841858],,90,40,,xe tải (loại 3 chỗ),,,,822020
188,189,,,1,0.1,0.02,60,,,22000,,,[1.64999997615814],,90,40,,xe tải (loại 3 chỗ),,,,822020
189,190,,,1,0.1,0.02,60,,,22000,,,[3.0],,90,40,,xe tải (loại 3 chỗ),,,,822710
190,191,,,1,0.1,0.02,60,,,22000,,,[710.0],,90,40,,xe vận tải,,,,822870
191,192,,,1,0.1,0.02,60,,,22000,,,[0.709999978542328],,90,40,,xe vận tải,,,,822870
192,193,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe vận tải,,,,823120
193,194,,,1,0.1,0.02,60,,,22000,,,[2.0],,90,40,,xe vận tải,,,,824300
194,195,,,1,0.1,0.02,60,,,22000,,,[3.0],,90,40,,xe vận tải,,,,824480
195,196,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe vận tải,,,,824480
196,197,,,1,0.1,0.02,60,,,22000,,,[3.09999990463257],,90,40,,xe tải (loại 3 chỗ),,,,824866
197,198,,,1,0.1,0.02,60,,,22000,,,[5.0],,90,40,,xe vận tải,,,,824866
198,199,,,1,0.1,0.02,60,,,22000,,,[1.20000004768372],,90,40,,xe tải (loại 3 chỗ),,,,824866
199,200,,,1,0.1,0.02,60,,,22000,,,[1.65],,90,40,,xe tải (loại 3 chỗ),,,,824866
200,201,,,1,0.1,0.02,60,,,22000,,,[3.20000004768372],,90,40,,xe tải (loại 3 chỗ),,,,824866
201,202,,,1,0.1,0.02,60,,,22000,,,[5.0],,90,40,,xe tải (loại 3 chỗ),,,,824866
202,203,,,1,0.1,0.02,60,,,22000,,,[5.5],,90,40,,xe tải (loại 3 chỗ),,,,824866
203,204,,,1,0.1,0.02,60,,,22000,,,[3.0],,90,40,,xe vận tải,,,,824866
204,205,,,1,0.1,0.02,60,,,22000,,,[2.0],,90,40,,xe vận tải,,,,824866
205,206,,,1,0.1,0.02,60,,,22000,,,[3.0],,90,40,,xe tải (loại 3 chỗ),,,,824866
206,207,,,1,0.1,0.02,60,,,22000,,,[1.79999995231628],,90,40,,xe tải (loại 3 chỗ),,,,824866
207,208,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe vận tải,,,,830000
208,209,,,1,0.1,0.02,60,,,22000,,,[3120.0],,90,40,,xe tải (loại 3 chỗ),,,,831500
209,210,,,1,0.1,0.02,60,,,22000,,,[770.0],,90,40,,xe tải (loại 3 chỗ),,,,831700
210,211,,,1,0.1,0.02,60,,,22000,,,[600.0],,90,40,,xe tải (loại 3 chỗ),,,,831700
211,212,,,1,0.1,0.02,60,,,22000,,,[740.0],,90,40,,xe tải (loại 3 chỗ),,,,832500
212,213,,,1,0.1,0.02,60,,,22000,,,[770.0],,90,40,,xe tải (loại 3 chỗ),,,,832900
213,214,,,1,0.1,0.02,60,,,22000,,,[600.0],,90,40,,xe tải (loại 3 chỗ),,,,832900
214,215,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe vận tải,,,,832900
215,216,,,1,0.1,0.02,60,,,22000,,,[3.59999990463257],,90,40,,xe vận tải,,,,833160
216,217,,,1,0.1,0.02,60,,,22000,,,[2205.0],,90,40,,xe tải (loại 3 chỗ),,,,833300
217,218,,,1,0.1,0.02,60,,,22000,,,[750.0],,90,40,,xe tải (loại 3 chỗ),,,,833600
218,219,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe vận tải,,,,853700
219,220,,,1,0.1,0.02,60,,,22000,,,[0.709999978542328],,90,40,,xe tải (loại 3 chỗ),,,,860000
220,221,,,1,0.1,0.02,60,,,22000,,,[0.699999988079071],,90,40,,xe vận tải,,,,860000
221,222,,,1,0.1,0.02,60,,,22000,,,[0.5],,90,40,,xe vận tải,,,,862000
222,223,,,1,0.1,0.02,60,,,22000,,,[0.5],,90,40,,xe vận tải,,,,862400
223,224,,,1,0.1,0.02,60,,,22000,,,[0.709999978542328],,90,40,,xe tải (loại 3 chỗ),,,,862700
224,225,,,1,0.1,0.02,60,,,22000,,,[0.5],,90,40,,xe vận tải,,,,863000
225,226,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe vận tải,,,,863000
226,227,,,1,0.1,0.02,60,,,22000,,,[0.5],,90,40,,xe vận tải,,,,863400
227,228,,,1,0.1,0.02,60,,,22000,,,[0.5],,90,40,,xe vận tải,,,,863900
228,229,,,1,0.1,0.02,60,,,22000,,,[0.5],,90,40,,xe vận tải,,,,864100
229,230,,,1,0.1,0.02,60,,,22000,,,[0.5],,90,40,,xe vận tải,,,,864700
230,231,,,1,0.1,0.02,60,,,22000,,,[0.5],,90,40,,xe vận tải,,,,865130
231,232,,,1,0.1,0.02,60,,,22000,,,[0.5],,90,40,,xe tải (loại 3 chỗ),,,,865300
232,233,,,1,0.1,0.02,60,,,22000,,,[0.0],,90,40,,xe vận tải,,,,870000
233,234,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe vận tải,,,,871400
234,235,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe vận tải,,,,871700
235,236,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe vận tải,,,,871900
236,237,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe vận tải,,,,872600
237,238,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe vận tải,,,,872800
238,239,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe vận tải,,,,873100
239,240,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe vận tải,,,,873800
240,241,,,1,0.1,0.02,60,,,22000,,,[0.629999995231628],,90,40,,xe tải (loại 3 chỗ),,,,880000
241,242,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe vận tải,,,,890000
242,243,,,1,0.1,0.02,60,,,22000,,,[1.20000004768372],,90,40,,xe tải (loại 3 chỗ),,,,890000
243,244,,,1,0.1,0.02,60,,,22000,,,[0.709999978542328],,90,40,,xe tải (loại 3 chỗ),,,,892100
244,245,,,1,0.1,0.02,60,,,22000,,,[0.589999973773956],,90,40,,xe tải (loại 3 chỗ),,,,893400
245,246,,,1,0.1,0.02,60,,,22000,,,[0.629999995231628],,90,40,,xe tải (loại 3 chỗ),,,,893800
246,247,,,1,0.1,0.02,60,,,22000,,,[0.589999973773956],,90,40,,xe tải (loại 3 chỗ),,,,893800
247,248,,,1,0.1,0.02,60,,,22000,,,[0.75],,90,40,,xe vận tải,,,,904000
248,249,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,Xe 2 chỗ,,,,930000
249,250,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe vận tải,,,,941700
250,251,,,1,0.1,0.02,60,,,22000,,,[3.0],,90,40,,xe vận tải,,,,941700
251,252,,,1,0.1,0.02,60,,,22000,,,[2.0],,90,40,,xe vận tải,,,,942100
252,253,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe vận tải,,,,960000
253,254,,,1,0.1,0.02,60,,,22000,,,[0.0],,90,40,,xe vận tải,,,,970000
254,255,,,1,0.1,0.02,60,,,22000,,,[0.579999983310699],,90,40,,xe tải (loại 3 chỗ),,,,971760
